Partlist

Exported from Main Schematic.sch at 5/1/15 15:12

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part                Value                                Device                     Package                     Library                        Sheet
ON/OFF?             Potential Location for On Off Switch EG1218S                    EG1218                      adafruit                       1
PCIE1               679105700                            679105700                  679105700                   con-molex                      1
PCIE2               679105700                            679105700                  679105700                   con-molex                      1
PWR                 RED                                  LEDCHIP-LED0603            CHIP-LED0603                adafruit                       1
Q1                  20V P-Channel Mosfet                 TRANSISTOR_FET_TSM2301CX   SOT-23                      dp_devices                     1
Q2                  12MHz                                CRYSTALCTS406              CTS406                      adafruit                       1
R1                  270K                                 R-US_M0805                 M0805                       adafruit                       1
R2                  100K                                 R-US_M0805                 M0805                       adafruit                       1
R3                  1K                                   R-US_M0805                 M0805                       adafruit                       1
R4                  1K                                   R-US_M0805                 M0805                       adafruit                       1
R5                  1K                                   R-US_M0805                 M0805                       adafruit                       1
R6                  100K                                 R-US_M0805                 M0805                       adafruit                       1
R7                  2K                                   R-US_M0805                 M0805                       adafruit                       1
R8                  1K                                   R-US_M0805                 M0805                       adafruit                       1
R9                  1K                                   R-US_M0805                 M0805                       adafruit                       1
R10                 1K                                   R-US_M0805                 M0805                       adafruit                       1
R11                 1.87M                                R-US_M0805                 M0805                       adafruit                       1
R12                 200K                                 R-US_M0805                 M0805                       adafruit                       1
R13                 1K                                   R-US_M0805                 M0805                       adafruit                       1
R14                 73.2K 1%                             R-US_M0805                 M0805                       adafruit                       1
R15                 24.0K 1%                             R-US_M0805                 M0805                       adafruit                       1
R16                 10k                                  R-US_M0805                 M0805                       adafruit                       1
R17                 2.2k                                 R-US_M0805                 M0805                       adafruit                       1
R18                 2.2k                                 R-US_M0805                 M0805                       adafruit                       1
R19                 2.2k                                 R-US_M0805                 M0805                       adafruit                       1
R20                 2.2k                                 R-US_M0805                 M0805                       adafruit                       1
R21                 1k?                                  R-US_M0805                 M0805                       adafruit                       1
R22                 2.2k                                 R-US_M0805                 M0805                       adafruit                       1
RESET               SPST_TACT-KMR2                       SPST_TACT-KMR2             KMR2                        adafruit                       1
RN1                 1.5k?                                RESISTOR_ARRAY_4           RN8P-4R-CRA06S              dp_devices                     1
RT1                 2.2K                                 R-US_M0805                 M0805                       adafruit                       1
RT2                 150K                                 R-US_M0805                 M0805                       adafruit                       1
RT3                 2.2K                                 R-US_M0805                 M0805                       adafruit                       1
RT4                 2.2K                                 R-US_M0805                 M0805                       adafruit                       1
RT5                 2.2K                                 R-US_M0805                 M0805                       adafruit                       1
RT6                 2.2K                                 R-US_M0805                 M0805                       adafruit                       1
RT7                 10K                                  R-US_M0805                 M0805                       adafruit                       1
RT8                 649                                  R-US_M0805                 M0805                       adafruit                       1
RT9                 2.2?                                 R-US_M0805                 M0805                       adafruit                       1
RT10                22?                                  R-US_M0805                 M0805                       adafruit                       1
RT11                22?                                  R-US_M0805                 M0805                       adafruit                       1
RT12                1M?                                  R-US_M0805                 M0805                       adafruit                       1
RT13                20?                                  R-US_M0805                 M0805                       adafruit                       1
RT14                20?                                  R-US_M0805                 M0805                       adafruit                       1
RT15                49.9?                                R-US_M0805                 M0805                       adafruit                       1
RT16                49.9?                                R-US_M0805                 M0805                       adafruit                       1
RT17                20?                                  R-US_M0805                 M0805                       adafruit                       1
RT18                20?                                  R-US_M0805                 M0805                       adafruit                       1
RT19                49.9?                                R-US_M0805                 M0805                       adafruit                       1
RT20                49.9?                                R-US_M0805                 M0805                       adafruit                       1
RT21                20?                                  R-US_M0805                 M0805                       adafruit                       1
RT22                20?                                  R-US_M0805                 M0805                       adafruit                       1
RT23                49.9?                                R-US_M0805                 M0805                       adafruit                       1
RT24                49.9?                                R-US_M0805                 M0805                       adafruit                       1
RT25                4.7k?                                R-US_M0805                 M0805                       adafruit                       1
RT26                4.7k?                                R-US_M0805                 M0805                       adafruit                       1
RT27                4.7k?                                R-US_M0805                 M0805                       adafruit                       1
RT28                1.6k?                                R-US_M0805                 M0805                       adafruit                       1
SD2_VSELECT         741G53DCT                            741G53DCT                  DCT_R-PDSO-G8               74xx-little-us                 1
SW1                 SPST_TACT-KMR2                       SPST_TACT-KMR2             KMR2                        adafruit                       1
SW2                 SPST_TACT-KMR2                       SPST_TACT-KMR2             KMR2                        adafruit                       1
SW3                 SPST_TACT-KMR2                       SPST_TACT-KMR2             KMR2                        adafruit                       1
THERM               1X2-3.5MM                            1X2-3.5MM                  1X2-3.5MM                   adafruit                       1
U$1                 USB-PWR                              USB-PWR                    USB-MINIB-THM-MOLEX-PWRONLY adafruit                       1
U$2                 1V8 Regulator                        MCP1700T-1802E/TT          SOT95P237X112-3N            Microchip_By_element14_Batch_1 1
